oid	friendly_name	category	source
0.4.0.1862.1	qcStatements	qc-statement	ETSI-EN-319-412-5
0.4.0.1862.1.1	qcCompliance	qc-statement	ETSI-EN-319-412-5
0.4.0.1862.1.2	qcLimitValue	qc-statement	ETSI-EN-319-412-5
0.4.0.1862.1.3	qcRetentionPeriod	qc-statement	ETSI-EN-319-412-5
0.4.0.1862.1.4	qcSSCD	qc-statement	ETSI-EN-319-412-5
0.4.0.1862.1.5	qcPDS	qc-statement	ETSI-EN-319-412-5
0.4.0.1862.1.6	qcType	qc-statement	ETSI-EN-319-412-5
0.4.0.194112.1.0	qctEsign	qc-type	ETSI-EN-319-412-5
0.4.0.194112.1.1	qctEseal	qc-type	ETSI-EN-319-412-5
0.4.0.194112.1.2	qctWeb	qc-type	ETSI-EN-319-412-5
0.4.0.194121.1.1	qcCClegislation	qc-statement	ETSI-EN-319-412-5
0.4.0.194121.1.2	qcSemanticsId	qc-statement	ETSI-EN-319-412-5
0.4.0.2042.1.1	qcp-natural	qc-policy	ETSI-EN-319-411-2
0.4.0.2042.1.2	qcp-legal	qc-policy	ETSI-EN-319-411-2
0.4.0.2042.1.3	qcp-natural-qscd	qc-policy	ETSI-EN-319-411-2
0.4.0.2042.1.4	qcp-legal-qscd	qc-policy	ETSI-EN-319-411-2
0.4.0.2042.1.5	qcp-web	qc-policy	ETSI-EN-319-411-2
0.4.0.1456.1.1	lcp	policy	ETSI-EN-319-411-1
0.4.0.1456.1.2	ncp	policy	ETSI-EN-319-411-1
0.4.0.1456.1.3	ncpplus	policy	ETSI-EN-319-411-1
0.4.0.1456.1.4	dvcp	policy	ETSI-EN-319-411-1
0.4.0.1456.1.5	ovcp	policy	ETSI-EN-319-411-1
0.4.0.1456.1.6	evcp	policy	ETSI-EN-319-411-1
0.4.0.1456.1.7	evcgcp	policy	ETSI-EN-319-411-1
