oid	friendly_name	category	source
1.2.840.113549.1.9.16	id-smime	cms	bouncycastle
1.2.840.113549.1.9.16.0.1	id-smime-mod-cms	cms	bouncycastle
1.2.840.113549.1.9.16.0.2	id-smime-mod-ess	cms	bouncycastle
1.2.840.113549.1.9.16.1	id-smime-ct	cms-content-type	bouncycastle
1.2.840.113549.1.9.16.1.1	id-smime-ct-receipt	cms-content-type	bouncycastle
1.2.840.113549.1.9.16.1.2	id-smime-ct-authData	cms-content-type	bouncycastle
1.2.840.113549.1.9.16.1.3	id-smime-ct-publishCert	cms-content-type	bouncycastle
1.2.840.113549.1.9.16.1.4	id-smime-ct-tstInfo	cms-content-type	bouncycastle
1.2.840.113549.1.9.16.1.6	id-smime-ct-contentInfo	cms-content-type	bouncycastle
1.2.840.113549.1.9.16.1.9	id-smime-ct-compressedData	cms-content-type	bouncycastle
1.2.840.113549.1.9.16.2	id-smime-aa	cms-attribute	bouncycastle
1.2.840.113549.1.9.16.2.1	id-smime-aa-receiptRequest	cms-attribute	bouncycastle
1.2.840.113549.1.9.16.2.4	id-smime-aa-contentHint	cms-attribute	bouncycastle
1.2.840.113549.1.9.16.2.7	id-smime-aa-contentIdentifier	cms-attribute	bouncycastle
1.2.840.113549.1.9.16.2.11	id-smime-aa-encrypKeyPref	cms-attribute	bouncycastle
1.2.840.113549.1.9.16.2.12	id-smime-aa-signingCertificate	cms-attribute	bouncycastle
1.2.840.113549.1.9.16.2.14	id-smime-aa-timeStampToken	cms-attribute	bouncycastle
1.2.840.113549.1.9.16.2.15	id-smime-aa-ets-sigPolicyId	cms-attribute	bouncycastle
1.2.840.113549.1.9.16.2.16	id-smime-aa-ets-commitmentType	cms-attribute	bouncycastle
1.2.840.113549.1.9.16.2.17	id-smime-aa-ets-signerLocation	cms-attribute	bouncycastle
1.2.840.113549.1.9.16.2.18	id-smime-aa-ets-signerAttr	cms-attribute	bouncycastle
1.2.840.113549.1.9.16.2.19	id-smime-aa-ets-otherSigCert	cms-attribute	bouncycastle
1.2.840.113549.1.9.16.2.20	id-smime-aa-ets-contentTimestamp	cms-attribute	bouncycastle
1.2.840.113549.1.9.16.2.21	id-smime-aa-ets-CertificateRefs	cms-attribute	bouncycastle
1.2.840.113549.1.9.16.2.22	id-smime-aa-ets-RevocationRefs	cms-attribute	bouncycastle
1.2.840.113549.1.9.16.2.23	id-smime-aa-ets-certValues	cms-attribute	bouncycastle
1.2.840.113549.1.9.16.2.24	id-smime-aa-ets-revocationValues	cms-attribute	bouncycastle
1.2.840.113549.1.9.16.2.25	id-smime-aa-ets-escTimeStamp	cms-attribute	bouncycastle
1.2.840.113549.1.9.16.2.26	id-smime-aa-ets-certCRLTimestamp	cms-attribute	bouncycastle
1.2.840.113549.1.9.16.2.27	id-smime-aa-ets-archiveTimestamp	cms-attribute	bouncycastle
1.2.840.113549.1.9.16.2.47	id-smime-aa-signingCertificateV2	cms-attribute	bouncycastle
1.2.840.113549.1.9.16.6.1	id-aa-ets-archiveTimestampV2	cms-attribute	bouncycastle
1.2.840.113549.1.9.16.6.2	id-aa-ets-attrCertificateRefs	cms-attribute	bouncycastle
1.2.840.113549.1.9.16.6.3	id-aa-ets-attrRevocationRefs	cms-attribute	bouncycastle
0.4.0.1733.2.1	id-aa-ATSHashIndex	cms-attribute	bouncycastle
0.4.0.1733.2.4	id-aa-ets-archiveTimestampV3	cms-attribute	bouncycastle
1.3.6.1.4.1.601.10.2	szoftververonyhetese	cms-attribute	bouncycastle
