oid	friendly_name	category	source
1.3.6.1.4.1.311.2.1.4	spcIndirectDataContext	microsoft	rust-oid-registry
1.3.6.1.4.1.311.2.1.10	spcSpAgencyInfo	microsoft	rust-oid-registry
1.3.6.1.4.1.311.2.1.11	certCommonName	microsoft	rust-oid-registry
1.3.6.1.4.1.311.2.1.12	spcOpusInfo	microsoft	rust-oid-registry
1.3.6.1.4.1.311.2.1.14	certCommonNameAlt	microsoft	rust-oid-registry
1.3.6.1.4.1.311.2.1.15	spcPeImageData	microsoft	rust-oid-registry
1.3.6.1.4.1.311.2.1.21	spcIndividualSpAgencyInfo	microsoft	rust-oid-registry
1.3.6.1.4.1.311.2.1.22	spcCommercialSpAgencyInfo	microsoft	rust-oid-registry
1.3.6.1.4.1.311.10.3.1	microsoftCertSrvCAVersion	microsoft	rust-oid-registry
1.3.6.1.4.1.311.10.3.4	microsoftEncryptedFileSystem	microsoft	rust-oid-registry
1.3.6.1.4.1.311.10.3.4.1	microsoftEFSRecovery	microsoft	rust-oid-registry
1.3.6.1.4.1.311.10.3.10	microsoftQualifiedSubordination	microsoft	rust-oid-registry
1.3.6.1.4.1.311.10.3.12	microsoftDocumentSigning	microsoft	rust-oid-registry
1.3.6.1.4.1.311.20.2.1	microsoftEnrollmentAgent	microsoft	rust-oid-registry
1.3.6.1.4.1.311.20.2.2	microsoftSmartCardLogon	microsoft	rust-oid-registry
1.3.6.1.4.1.311.21.1	microsoftCAVersion	microsoft	rust-oid-registry
1.3.6.1.4.1.311.21.7	microsoftCertificateTemplate	microsoft	rust-oid-registry
1.3.6.1.4.1.311.21.10	microsoftApplicationCertPolicies	microsoft	rust-oid-registry
1.3.6.1.4.1.311.21.20	microsoftClientInformation	microsoft	rust-oid-registry
2.16.840.1.114412.1	digicert-pkix	digicert	rust-oid-registry
2.16.840.1.114412.2.1	digicert-extended-validation	digicert	rust-oid-registry
2.16.840.1.113733.1.7.23.1	verisign-class1	verisign	rust-oid-registry
2.16.840.1.113733.1.7.23.2	verisign-class2	verisign	rust-oid-registry
2.16.840.1.113733.1.7.23.3	verisign-class3	verisign	rust-oid-registry
2.16.840.1.113733.1.7.23.6	verisign-evcp	verisign	rust-oid-registry
2.16.840.1.113733.1.7.48.1	thawte-pca	thawte	rust-oid-registry
1.2.840.113583.1.1.9.1	adobeArchiveRevInfo	adobe	rust-oid-registry
1.2.840.113583.1.1.9.2	adobeTimestamp	adobe	rust-oid-registry
1.2.840.113583.1.1.10	adobePPKLite	adobe	rust-oid-registry
1.2.840.10045	ansi-X9-62	ansi-x962	manual-curated
1.2.840.10045.1	id-fieldType	ansi-x962	manual-curated
1.2.840.10045.2	id-publicKeyType	ansi-x962	manual-curated
1.2.840.10045.2.1	id-ecPublicKey	ansi-x962	manual-curated
1.2.840.10045.3	ellipticCurve	ansi-x962	manual-curated
1.2.840.10045.3.1.7	prime256v1	ec-curve	manual-curated
1.2.840.10045.4	id-ecSigType	ansi-x962	manual-curated
1.2.840.10045.4.1	ecdsa-with-SHA1	signature-algo	manual-curated
1.2.840.10045.4.3	ecdsa-with-Specified	signature-algo	manual-curated
1.2.840.10045.4.3.1	ecdsa-with-SHA224	signature-algo	manual-curated
1.2.840.10045.4.3.2	ecdsa-with-SHA256	signature-algo	manual-curated
1.2.840.10045.4.3.3	ecdsa-with-SHA384	signature-algo	manual-curated
1.2.840.10045.4.3.4	ecdsa-with-SHA512	signature-algo	manual-curated
1.3.132.0.10	secp256k1	ec-curve	sec2
1.3.132.0.34	secp384r1	ec-curve	sec2
1.3.132.0.35	secp521r1	ec-curve	sec2
1.3.101.110	X25519	curve	rfc7748
1.3.101.111	X448	curve	rfc7748
1.3.101.112	Ed25519	signature-algo	rfc8410
1.3.101.113	Ed448	signature-algo	rfc8410
