oid	friendly_name	category	source
2.23.136	mrtd	mrtd	ICAO-9303
2.23.136.1	mrtd-security	mrtd	ICAO-9303
2.23.136.1.1	mrtd-securityLDS	mrtd	ICAO-9303
2.23.136.1.1.1	ldsSecurityObject	mrtd	ICAO-9303
2.23.136.1.1.2	cscaMasterList	mrtd	ICAO-9303
2.23.136.1.1.3	documentTypeList	mrtd	ICAO-9303
2.23.136.1.1.4	attributes	mrtd	ICAO-9303
2.23.136.1.1.5	deviationList	mrtd	ICAO-9303
2.23.136.1.1.6	mrtdAuthCheckList	mrtd	ICAO-9303
2.23.136.1.1.6.1	mrtdAuthCheck	mrtd	ICAO-9303
2.23.136.1.1.6.2	mrtdAuthCheckExt	mrtd	ICAO-9303
0.4.0.127.0.7.2.2.1	id-PACE	pace	BSI-TR-03110
0.4.0.127.0.7.2.2.1.1	id-PACE-DH-GM	pace	BSI-TR-03110
0.4.0.127.0.7.2.2.1.2	id-PACE-ECDH-GM	pace	BSI-TR-03110
0.4.0.127.0.7.2.2.2	id-PACE-DH-IM	pace	BSI-TR-03110
0.4.0.127.0.7.2.2.4	id-PACE-ECDH-IM	pace	BSI-TR-03110
0.4.0.127.0.7.2.2.6	id-PACE-ECDH-CAM	pace	BSI-TR-03110
